File path,Image label
dataset2/rain75.jpg,rain
dataset2/cloudy12.jpg,cloudy
dataset2/sunrise105.jpg,sunrise
dataset2/sunrise146.jpg,sunrise
dataset2/cloudy179.jpg,cloudy
dataset2/shine212.jpg,shine
dataset2/cloudy205.jpg,cloudy
dataset2/cloudy118.jpg,cloudy
dataset2/cloudy247.jpg,cloudy
dataset2/sunrise43.jpg,sunrise
dataset2/sunrise245.jpg,sunrise
dataset2/rain107.jpg,rain
dataset2/sunrise61.jpg,sunrise
dataset2/shine7.jpg,shine
dataset2/sunrise71.jpg,sunrise
dataset2/shine49.jpg,shine
dataset2/cloudy229.jpg,cloudy
dataset2/sunrise325.jpg,sunrise
dataset2/sunrise231.jpg,sunrise
dataset2/rain117.jpg,rain
dataset2/sunrise338.jpg,sunrise
dataset2/cloudy111.jpg,cloudy
dataset2/cloudy216.jpg,cloudy
dataset2/rain110.jpg,rain
dataset2/rain18.jpg,rain
dataset2/rain10.jpg,rain
dataset2/cloudy200.jpg,cloudy
dataset2/shine230.jpg,shine
dataset2/rain99.jpg,rain
dataset2/rain94.jpg,rain
dataset2/sunrise90.jpg,sunrise
dataset2/cloudy152.jpg,cloudy
dataset2/shine203.jpg,shine
dataset2/sunrise50.jpg,sunrise
dataset2/sunrise167.jpg,sunrise
dataset2/cloudy54.jpg,cloudy
dataset2/shine94.jpg,shine
dataset2/sunrise114.jpg,sunrise
dataset2/cloudy11.jpg,cloudy
dataset2/shine146.jpg,shine
dataset2/rain153.jpg,rain
dataset2/shine155.jpg,shine
dataset2/cloudy95.jpg,cloudy
dataset2/cloudy32.jpg,cloudy
dataset2/cloudy158.jpg,cloudy
dataset2/cloudy137.jpg,cloudy
dataset2/rain116.jpg,rain
dataset2/sunrise259.jpg,sunrise
dataset2/shine126.jpg,shine
dataset2/shine10.jpg,shine
dataset2/cloudy149.jpg,cloudy
dataset2/sunrise306.jpg,sunrise
dataset2/sunrise5.jpg,sunrise
dataset2/cloudy295.jpg,cloudy
dataset2/cloudy260.jpg,cloudy
dataset2/rain177.jpg,rain
dataset2/sunrise101.jpg,sunrise
dataset2/shine12.jpg,shine
dataset2/rain71.jpg,rain
dataset2/sunrise1.jpg,sunrise
dataset2/shine236.jpg,shine
dataset2/sunrise173.jpg,sunrise
dataset2/shine183.jpg,shine
dataset2/sunrise30.jpg,sunrise
dataset2/sunrise288.jpg,sunrise
dataset2/cloudy129.jpg,cloudy
dataset2/cloudy192.jpg,cloudy
dataset2/rain37.jpg,rain
dataset2/cloudy37.jpg,cloudy
dataset2/cloudy52.jpg,cloudy
dataset2/rain93.jpg,rain
dataset2/cloudy44.jpg,cloudy
dataset2/shine91.jpg,shine
dataset2/cloudy227.jpg,cloudy
dataset2/shine69.jpg,shine
dataset2/cloudy258.jpg,cloudy
dataset2/rain149.jpg,rain
dataset2/cloudy282.jpg,cloudy
dataset2/sunrise276.jpg,sunrise
dataset2/sunrise194.jpg,sunrise
dataset2/rain185.jpg,rain
dataset2/sunrise243.jpg,sunrise
dataset2/rain199.jpg,rain
dataset2/cloudy267.jpg,cloudy
dataset2/shine184.jpg,shine
dataset2/sunrise191.jpg,sunrise
dataset2/shine211.jpg,shine
dataset2/cloudy147.jpg,cloudy
dataset2/cloudy232.jpg,cloudy
dataset2/sunrise175.jpg,sunrise
dataset2/shine41.jpg,shine
dataset2/rain16.jpg,rain
dataset2/rain2.jpg,rain
dataset2/cloudy134.jpg,cloudy
dataset2/sunrise247.jpg,sunrise
